Service;Nom_Clé_Partagée;Nom_commercial ;Nom technique;URL d'accès
WFS;administratif;ADMIN EXPRESS mises à jour en continu - region;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:region;https://wxs.ign.fr/administratif/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WMS Raster;administratif;ADMIN EXPRESS COG 2021;ADMINEXPRESS-COG.LATEST                ;https://wxs.ign.fr/administratif/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;administratif;ADMIN EXPRESS COG CARTO 2021;ADMINEXPRESS-COG-CARTO.LATEST;https://wxs.ign.fr/administratif/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;administratif;Limites administratives mises à jour en continu;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST;https://wxs.ign.fr/administratif/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMTS;administratif;ADMIN EXPRESS COG 2021;ADMINEXPRESS-COG.LATEST                ;https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;administratif;ADMIN EXPRESS COG CARTO 2021;ADMINEXPRESS-COG-CARTO.LATEST;https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;administratif;Limites administratives mises à jour en continu;LIMITES_ADMINISTRATIVES_EXPRESS.LATEST;https://wxs.ign.fr/administratif/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WFS;adresse;Base Adresse Nationale BAN (DATA.GOUV.FR);BAN.DATA.GOUV:ban;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;Base Adresse Nationale (BAN);BAN.ADRESSE:ban;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEN ADRESSE_BATI;ADRESSE-PREMIUM.LIEN.BATI:lien_adresse_bati;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEN ADRESSE_HEXA;ADRESSE-PREMIUM.LIEN.HEXA:lien_adresse_hexa;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEN ADRESSE_PARCELLE;ADRESSE-PREMIUM.LIEN.PARCELLE:lien_adresse_parcelle;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEN ADRESSE_IRIS;ADRESSE-PREMIUM.LIEN.IRIS:lien_adresse_iris;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEN BATI_PARCELLE;ADRESSE-PREMIUM.LIEN.BATI-PARCELLE:lien_bati_parcelle;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;ADRESSE (éd.18.2);BDADRESSE_BDD_WLD_WGS84G:adresse;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;ARRONDISSEMENT (éd.18.2);BDADRESSE_BDD_WLD_WGS84G:arrondissement;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;CHEF_LIEU (éd.18.2);BDADRESSE_BDD_WLD_WGS84G:chef_lieu;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;COMMUNE (éd.18.2);BDADRESSE_BDD_WLD_WGS84G:commune;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;LIEU_DIT_HABITE (éd.18.2);BDADRESSE_BDD_WLD_WGS84G:lieu_dit_habite;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;ROUTE_ADRESSE (éd.18.2);BDADRESSE_BDD_WLD_WGS84G:route_adresse;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;adresse;ROUTE_ADRESSE_NOMMEE (éd.18.2);BDADRESSE_BDD_WLD_WGS84G:route_adresse_nommee;https://wxs.ign.fr/adresse/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WMS Vecteur;adresse;Base Adresse Nationale BAN (DATA.GOUV.FR);BAN.DATA.GOUV;https://wxs.ign.fr/adresse/geoportail/v/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Vecteur;adresse;Base Adresse Nationale (BAN);BAN.ADRESSE;https://wxs.ign.fr/adresse/geoportail/v/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Vecteur;adresse;POINT ADRESSE®;BDADRESSE-POINTADRESSE_BDD_FXX_RGF93G;https://wxs.ign.fr/adresse/geoportail/v/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Vecteur;adresse;ROUTE ADRESSE®;BDADRESSE-ROUTESADRESSE_BDD_FXX_RGF93G;https://wxs.ign.fr/adresse/geoportail/v/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WFS;agriculture;Carte des cours d’eau BCAE1 2022;HYDROGRAPHY.BCAE.2022:bcae_cours_eau;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2010;RPG.2010:rpg_2010;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2011;RPG.2011:rpg_2011;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2012;RPG.2012:rpg_2012;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2013;RPG.2013:rpg_2013;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2014:ilots anonymes;RPG.2014:ilots_anonymes;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2015:parcelles graphiques;RPG.2015:parcelles_graphiques;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2015:ilots anonymes;RPG.2015:ilots_anonymes;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2016:ilots anonymes;RPG.2016:ilots_anonymes;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2016:parcelles graphiques;RPG.2016:parcelles_graphiques;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2017 parcelles graphiques;RPG.2017:ilots_anonymes;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2017 ilots anonymes;RPG.2017:parcelles_graphiques;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2018 parcelles graphiques;RPG.2018:parcelles_graphiques;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2018 ilots anonymes;RPG.2018:ilots_anonymes;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2019 parcelles graphiques;RPG.2019:parcelles_graphiques;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2019 ilots anonymes;RPG.2019:ilots_anonymes;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2020 parcelles graphiques;RPG.2020:parcelles_graphiques;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WFS;agriculture;RPG 2020 ilots anonymes;RPG.2020:ilots_anonymes;https://wxs.ign.fr/agriculture/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WMS Raster;agriculture;Carte des cours d’eau BCAE1 2022;HYDROGRAPHY.BCAE.2022;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;Carte des pentes pour l'agriculture BCAE5;GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2007;LANDUSE.AGRICULTURE2007;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2008;LANDUSE.AGRICULTURE2008;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2009;LANDUSE.AGRICULTURE2009;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2010;LANDUSE.AGRICULTURE2010;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2011;LANDUSE.AGRICULTURE2011;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2012;LANDUSE.AGRICULTURE2012;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2013;LANDUSE.AGRICULTURE2013;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2014;LANDUSE.AGRICULTURE2014;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2015;LANDUSE.AGRICULTURE2015;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2016;LANDUSE.AGRICULTURE2016;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2017;LANDUSE.AGRICULTURE2017;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2018;LANDUSE.AGRICULTURE2018;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2019;LANDUSE.AGRICULTURE2019;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;agriculture;RPG 2020;LANDUSE.AGRICULTURE2020;https://wxs.ign.fr/agriculture/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMTS;agriculture;Carte des cours d’eau BCAE1 2022;HYDROGRAPHY.BCAE.2022;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;Carte des pentes pour l'agriculture BCAE5;GEOGRAPHICALGRIDSYSTEMS.SLOPES.PAC;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2007;LANDUSE.AGRICULTURE2007;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2008;LANDUSE.AGRICULTURE2008;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2009;LANDUSE.AGRICULTURE2009;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2010;LANDUSE.AGRICULTURE2010;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2011;LANDUSE.AGRICULTURE2011;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2012;LANDUSE.AGRICULTURE2012;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2013;LANDUSE.AGRICULTURE2013;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2014;LANDUSE.AGRICULTURE2014;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2015;LANDUSE.AGRICULTURE2015;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2016;LANDUSE.AGRICULTURE2016;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2017;LANDUSE.AGRICULTURE2017;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2018;LANDUSE.AGRICULTURE2018;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2019;LANDUSE.AGRICULTURE2019;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WMTS;agriculture;RPG 2020;LANDUSE.AGRICULTURE2020;https://wxs.ign.fr/agriculture/geoportail/wmts?SERVICE=WMTS&VERSION=1.0.0&REQUEST=GetCapabilities
WFS;altimetrie;Masque de source du RGE Alti;ELEVATIONGRIDCOVERAGE.HIGHRES.QUALITY:source_fra;https://wxs.ign.fr/altimetrie/geoportail/wfs?SERVICE=WFS&VERSION=2.0.0&REQUEST=GetCapabilities
WMS Raster;altimetrie;Cartes des pentes;GEOGRAPHICALGRIDSYSTEMS.SLOPES.MOUNTAIN;https://wxs.ign.fr/altimetrie/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;altimetrie;Estompage;ELEVATION.ELEVATIONGRIDCOVERAGE.SHADOW;https://wxs.ign.fr/altimetrie/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;altimetrie;Estompage MNS;ELEVATION.ELEVATIONGRIDCOVERAGE.HIGHRES.MNS.SHADOW ;https://wxs.ign.fr/altimetrie/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;altimetrie;Masque de source du RGE Alti;ELEVATIONGRIDCOVERAGE.HIGHRES.QUALITY;https://wxs.ign.fr/altimetrie/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;altimetrie;Modèle numérique de surface;ELEVATION.ELEVATIONGRIDCOVERAGE.HIGHRES.MNS;https://wxs.ign.fr/altimetrie/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;altimetrie;Modèle numérique de terrain BD Alti ;ELEVATION.ELEVATIONGRIDCOVERAGE;https://wxs.ign.fr/altimetrie/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;altimetrie;Modèle numérique de terrain mondial SRTM3 ;ELEVATION.ELEVATIONGRIDCOVERAGE.SRTM3;https://wxs.ign.fr/altimetrie/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
WMS Raster;altimetrie;Modèle numérique de terrain RGE Alti ;ELEVATION.ELEVATIONGRIDCOVERAGE.HIGHRES;https://wxs.ign.fr/altimetrie/geoportail/r/wms?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities
